HYRIV_ID,NEXT_DOWN,MAIN_RIV,LENGTH_KM,DIST_DN_KM,DIST_UP_KM,CATCH_SKM,UPLAND_SKM,ENDORHEIC,DIS_AV_CMS,ORD_STRA,ORD_CLAS,ORD_FLOW,HYBAS_L12,Shape_Length,intermittent_count,perennial_count,water_count,perennial_ratio,connected_perennial,segment_status,segment_label
40166479,40166480,40017702,1.86,2190.0,1133.2,4.95,209882.9,0,668.377,7,2,4,4120248760.0,0.022559223176534044,55,6,61,0.09836065573770492,True,2.0,Perennial_connected
40166485,40166236,40017702,0.93,1954.9,1368.2,1.5,389618.7,0,1355.393,8,2,3,4120249110.0,0.008333333333311543,77,3,80,0.0375,False,1.0,Intermittent_ratio
40166480,40167250,40017702,6.15,2183.9,1139.3,22.97,209929.5,0,666.546,7,2,4,4120248760.0,0.07357022603961155,114,9,123,0.07317073170731707,False,1.0,Intermittent_ratio
40166346,40166479,40017702,1.59,2192.0,1131.1,10.21,209826.2,0,668.88,7,2,4,4120248760.0,0.01595177968648824,61,5,66,0.07575757575757576,True,2.0,Perennial_connected
40165966,40166346,40017702,3.09,2193.5,1129.7,5.85,209790.9,0,669.182,7,2,4,4120248760.0,0.030177669529690643,93,5,98,0.05102040816326531,True,2.0,Perennial_connected
40166236,40164436,40017702,12.16,1942.9,1380.2,38.57,389830.7,0,1353.97,8,2,3,4120247260.0,0.13493656796188666,165,8,173,0.046242774566473986,False,1.0,Intermittent_ratio
40165100,40165966,40017702,2.1,2196.7,1126.4,2.85,209725.7,0,669.791,7,2,4,4121231320.0,0.024285113019830645,101,2,103,0.019417475728155338,False,1.0,Intermittent_ratio
40164587,40164437,40017702,0.89,1924.3,1398.8,1.05,390757.1,0,1356.258,8,2,3,4120247270.0,0.010059223176545413,55,16,71,0.22535211267605634,True,2.0,Perennial_connected
40164586,40164587,40017702,2.75,1925.0,1398.1,8.55,390731.7,0,1356.17,8,2,3,4120247270.0,0.0326184463531363,59,16,75,0.21333333333333335,True,2.0,Perennial_connected
40164848,40165100,40017702,3.51,2198.8,1124.3,10.5,209711.4,0,670.365,7,2,4,4121231320.0,0.03607022603952883,112,1,113,0.008849557522123894,False,1.0,Intermittent_ratio
40164437,40163855,40017702,14.42,1909.7,1413.4,79.03,391038.3,0,1357.282,8,2,3,4120246030.0,0.1641032346285022,136,39,175,0.22285714285714286,False,1.0,Intermittent_ratio
40164436,40164289,40017702,6.34,1936.6,1386.6,39.14,390260.8,0,1354.555,8,2,3,4120246660.0,0.07112944921611666,105,8,113,0.07079646017699115,True,2.0,Perennial_connected
40164289,40164586,40017702,8.73,1927.9,1395.2,41.23,390372.9,0,1354.93,8,2,3,4120246660.0,0.10130711874574458,114,18,132,0.13636363636363635,False,1.0,Intermittent_ratio
40163856,40163708,40017702,3.48,1905.1,1418.1,14.7,391538.6,0,1359.217,8,2,3,4120246040.0,0.04339255650990527,67,19,86,0.22093023255813954,True,2.0,Perennial_connected
40163855,40163856,40017702,1.21,1908.5,1414.6,3.0,391147.5,0,1357.677,8,2,3,4120246250.0,0.014225889843248485,50,14,64,0.21875,True,2.0,Perennial_connected
40163710,40163711,40017702,0.32,1901.3,1421.9,0.75,392587.5,0,1362.743,8,2,3,4120244190.0,0.0041666666667197205,35,13,48,0.2708333333333333,True,2.0,Perennial_connected
40163708,40163709,40017702,0.89,1904.4,1418.7,1.2,391551.2,0,1359.264,8,2,3,4120246040.0,0.01005922317651182,49,15,64,0.234375,True,2.0,Perennial_connected
40163709,40163710,40017702,2.67,1901.8,1421.4,6.0,392574.3,0,1362.694,8,2,3,4120244190.0,0.030177669529626194,57,17,74,0.22972972972972974,True,2.0,Perennial_connected
40163996,40164848,40017702,5.59,2202.3,1120.8,23.69,209613.4,0,671.044,7,2,4,4121231320.0,0.06107022603955878,140,2,142,0.014084507042253521,False,1.0,Intermittent_ratio
40163711,40162877,40017702,3.73,1897.7,1425.4,10.64,392634.7,0,1362.924,8,2,3,4120244190.0,0.03851100286292769,64,18,82,0.21951219512195122,True,2.0,Perennial_connected
40163012,40163996,40017702,2.72,2207.8,1115.4,10.04,167289.4,0,600.043,7,2,4,4120244900.0,0.02773689270620307,106,3,109,0.027522935779816515,False,1.0,Intermittent_ratio
40162877,40162094,40017702,8.04,1889.7,1433.5,48.69,392710.8,0,1363.214,8,2,3,4120244190.0,0.0944035593728285,118,37,155,0.23870967741935484,True,2.0,Perennial_connected
40162094,40161703,40017702,1.7,1888.0,1435.2,2.1,392860.8,0,1363.811,8,2,3,4120243600.0,0.017677669529788293,52,22,74,0.2972972972972973,True,2.0,Perennial_connected
40161705,40161706,40017702,1.62,1875.6,1447.6,10.18,393087.3,0,1365.552,8,2,3,4120243600.0,0.020833333333257542,29,24,53,0.4528301886792453,True,2.0,Perennial_connected
40161704,40161705,40017702,2.42,1877.2,1446.0,10.48,393047.0,0,1365.136,8,2,3,4120243600.0,0.028451779686463376,43,35,78,0.44871794871794873,True,2.0,Perennial_connected
40162356,40163012,40017702,14.49,2210.6,1112.5,45.97,167254.3,0,600.514,7,2,4,4120244900.0,0.16654401145206155,208,35,243,0.1440329218106996,False,1.0,Intermittent_ratio
40161703,40161571,40017702,2.38,1885.6,1437.5,4.04,392944.6,0,1364.128,8,2,3,4120243600.0,0.024285113019683363,53,25,78,0.32051282051282054,True,2.0,Perennial_connected
40161571,40161704,40017702,5.87,1879.8,1443.4,13.78,392976.4,0,1364.554,8,2,3,4120243600.0,0.06696278254943887,68,36,104,0.34615384615384615,True,2.0,Perennial_connected
40161706,40160409,40017702,10.49,1865.2,1458.0,59.58,393270.2,0,1367.568,8,2,3,4120242490.0,0.12142556509895255,29,62,91,0.6813186813186813,True,2.0,Perennial_connected
40160409,40160170,40017702,1.77,1863.4,1459.7,7.33,393470.8,0,1368.63,8,2,3,4120241760.0,0.02011844635313762,16,32,48,0.6666666666666666,True,2.0,Perennial_connected
40160542,40162356,40017702,3.15,2225.1,1098.1,8.38,167194.7,0,603.57,7,2,4,4120244900.0,0.03362944921609566,108,3,111,0.02702702702702703,False,1.0,Intermittent_ratio
40160170,40159675,40017702,2.16,1861.3,1461.8,4.64,393501.2,0,1368.964,8,2,3,4120241760.0,0.021844336196330583,25,32,57,0.5614035087719298,True,2.0,Perennial_connected
40159907,40160542,40017702,4.9,2228.2,1094.9,10.32,167171.3,0,604.165,7,2,4,4120244900.0,0.05446278254951053,104,6,110,0.05454545454545454,True,2.0,Perennial_connected
40159675,40158128,40017702,5.76,1855.7,1467.4,14.65,397037.9,0,1386.875,8,2,3,4120239850.0,0.053451779686422264,50,52,102,0.5098039215686274,True,2.0,Perennial_connected
40159139,40159907,40017702,2.42,2233.0,1090.2,7.92,167137.0,0,605.266,7,2,4,4120244900.0,0.022559223176562466,57,6,63,0.09523809523809523,True,2.0,Perennial_connected
40158485,40159139,40017702,3.65,2235.4,1087.7,15.99,167102.7,0,605.74,7,2,4,4121228240.0,0.03607022603957318,68,10,78,0.1282051282051282,True,2.0,Perennial_connected
